Scenario TID,Requirement Id,Test Type,TestCase Description,PreCondition,TestSteps,Expected Result,Actual Result,Steps to Execute,Expected Result ,Actual Result ,Status,Executed QA Name,Misc (Comments),Priority,Is Automated,Is Manual
TC_AUTH_001,RQ_AUTH_01,Positive,Verify token generation with valid credentials,API is accessible,Send POST request to /auth with valid username and password,API returns status code 200 and token,,Execute POST request via API client,Token generated successfully,,Not Executed,,,High,No,Yes
TC_AUTH_002,RQ_AUTH_01,Negative,Verify token generation with invalid username,API is accessible,Send POST request to /auth with invalid username,API returns failure message (Bad credentials),,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_003,RQ_AUTH_01,Negative,Verify token generation with invalid password,API is accessible,Send POST request to /auth with invalid password,API returns failure message (Bad credentials),,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_004,RQ_AUTH_01,Negative,Verify token generation with empty payload,API is accessible,Send POST request to /auth with empty JSON payload,"API handles gracefully, returns failure",,Execute POST request via API client,Appropriate error handled,,Not Executed,,,Medium,No,Yes
TC_AUTH_005,RQ_AUTH_01,Negative,Verify token generation with missing username,API is accessible,Send POST request to /auth missing username field,API returns failure message,,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_006,RQ_AUTH_01,Negative,Verify token generation with missing password,API is accessible,Send POST request to /auth missing password field,API returns failure message,,Execute POST request via API client,Token not generated,,Not Executed,,,High,No,Yes
TC_AUTH_007,RQ_AUTH_01,Security,Verify SQL Injection in username field,API is accessible,Send POST request to /auth with SQL injection payload in username,API rejects the payload securely,,Execute POST request via API client,No SQL exception or unauthorized access,,Not Executed,,,Critical,No,Yes
TC_BKG_GETIDS_001,RQ_BKG_01,Positive,Verify retrieval of all booking IDs,API is accessible,Send GET request to /booking without filters,API returns status code 200 and list of booking IDs,,Execute GET request via API client,List of booking IDs received,,Not Executed,,,High,No,Yes
TC_BKG_GETIDS_002,RQ_BKG_01,Positive,Verify filter by existing firstname,Bookings exist with specific firstname,Send GET request to /booking?firstname=<name>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_003,RQ_BKG_01,Positive,Verify filter by existing lastname,Bookings exist with specific lastname,Send GET request to /booking?lastname=<name>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_004,RQ_BKG_01,Positive,Verify filter by checkin date,Bookings exist with specific checkin date,Send GET request to /booking?checkin=<date>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_005,RQ_BKG_01,Positive,Verify filter by checkout date,Bookings exist with specific checkout date,Send GET request to /booking?checkout=<date>,API returns 200 and filtered list,,Execute GET request via API client,Filtered list received,,Not Executed,,,Medium,No,Yes
TC_BKG_GETIDS_006,RQ_BKG_01,Negative,Verify filter by non-existent firstname,API is accessible,Send GET request to /booking?firstname=nonexistentname,API returns 200 and empty list [],,Execute GET request via API client,Empty list received,,Not Executed,,,Low,No,Yes
TC_BKG_GETIDS_007,RQ_BKG_01,Negative,Verify filter by invalid date format,API is accessible,Send GET request to /booking?checkin=invalid-date,API handles invalid format gracefully (e.g. 400 or empty 200),,Execute GET request via API client,Graceful handling,,Not Executed,,,Low,No,Yes
TC_BKG_GET_001,RQ_BKG_02,Positive,Verify retrieval of existing booking by ID,Booking ID exists,Send GET request to /booking/<id>,API returns 200 and booking details,,Execute GET request via API client,Booking details match created data,,Not Executed,,,High,No,Yes
TC_BKG_GET_002,RQ_BKG_02,Positive,Verify Accept header application/xml,Booking ID exists,Send GET request to /booking/<id> with Accept: application/xml,API returns 200 and XML response,,Execute GET request via API client,XML response format received,,Not Executed,,,Medium,No,Yes
TC_BKG_GET_003,RQ_BKG_02,Negative,Verify retrieval with non-existent ID,API is accessible,Send GET request to /booking/9999999,API returns 404 Not Found,,Execute GET request via API client,404 Not Found,,Not Executed,,,High,No,Yes
TC_BKG_GET_004,RQ_BKG_02,Negative,Verify retrieval with string ID instead of int,API is accessible,Send GET request to /booking/invalidID,API returns 404 or 400,,Execute GET request via API client,Proper error code,,Not Executed,,,Medium,No,Yes
TC_BKG_GET_005,RQ_BKG_02,Negative,Verify retrieval with special characters in ID,API is accessible,Send GET request to /booking/@#$,API returns 404 or 400,,Execute GET request via API client,Proper error code,,Not Executed,,,Medium,No,Yes
